[size]
width=8
height=14

[horizontal walls]
11;11;11;11;11;11;11;11
11;0;11;11;11;11;0;11
11;0;11;11;11;11;0;11
11;0;11;11;11;11;0;11
11;0;11;11;11;11;0;11
11;11;11;0;0;11;11;11
11;11;11;0;0;11;11;11
0;11;11;0;0;11;11;0
0;11;11;11;11;11;11;0
11;11;0;11;11;0;11;11
11;11;0;11;11;0;11;11
11;11;0;11;11;0;11;11
0;11;0;11;11;0;11;0
0;11;11;11;11;11;11;0
11;11;11;11;11;11;11;11

[vertical walls]
11;0;0;0;0;0;0;0;11
11;0;0;0;0;0;0;0;11
11;0;0;0;0;0;0;0;11
11;0;0;0;0;0;0;0;11
11;0;0;0;11;0;0;0;11
11;0;0;0;11;0;0;0;11
11;0;0;0;11;0;0;0;11
11;11;0;0;11;0;0;11;11
11;0;0;0;11;0;0;0;11
11;0;0;0;11;0;0;0;11
11;0;0;0;11;0;0;0;11
11;0;0;0;11;0;0;0;11
11;11;0;0;11;0;0;11;11
11;0;0;0;11;0;0;0;11

[stairs]
0;11;0;0;0;0;11;0
0;11;0;0;0;0;11;0
0;11;0;0;0;0;11;0
0;11;0;0;0;0;11;0
0;0;0;11;11;0;0;0
0;0;0;11;11;0;0;0
11;0;0;11;11;0;0;11
11;0;0;0;0;0;0;11
0;0;11;0;0;11;0;0
0;0;11;0;0;11;0;0
0;0;11;0;0;11;0;0
11;0;11;0;0;11;0;11
11;0;0;0;0;0;0;11
0;0;0;0;0;0;0;0

[firemen]
6

[fires]
26
5;0
4;1
0;2
3;3
5;4
6;5
7;6
2;6
3;7
5;7
2;8
7;8
2;9
6;9
1;10
5;10
0;11
2;11
6;11
0;12
2;12
5;12
1;13
2;13
5;13
6;13

[comps]
22
0;5
0;9
0;10
0;13
1;12
3;13
3;12
3;11
3;10
3;9
3;8
7;5
7;9
7;10
7;13
6;12
4;13
4;12
4;11
4;10
4;9
4;8
6;7
